model,price,year,km,color,country
Model S,29100.0,2018,117456,Negro,España
Model S,28600.0,2018,127132,Negro,Francia
Model S,28400.0,2018,116251,Negro,Francia
Model S,33500.0,2018,70614,Negro,España
Model S,34200.0,2018,68302,Negro,España
Model S,39200.0,2018,92202,Negro,Francia
Model S,38500.0,2018,84325,Negro,Francia
Model S,39000.0,2018,91227,Negro,Francia
Model S,42000.0,2019,102621,Negro,Francia
Model S,44000.0,2019,96688,Blanco,Francia
Model S,44500.0,2019,99838,Negro,Francia
Model S,46500.0,2019,56744,Plata,Francia
Model S,44700.0,2019,90274,Rojo,Francia
Model S,47000.0,2019,88817,Plata,Francia
Model S,53500.0,2020,96181,Azul,Francia
Model S,55550.0,2020,58870,Azul,Francia
Model S,79500.0,2023,13178,Blanco,España
Model S,80600.0,2023,12410,Negro,España
Model S,81700.0,2023,36085,Blanco,España
Model S,82010.0,2023,2497,Blanco,España
Model S,83500.0,2023,8276,Negro,España
Model S,84070.0,2023,3414,Blanco,Francia
Model S,84400.0,2023,6300,Blanco,España
Model S,86500.0,2023,3269,Rojo,España
Model S,87400.0,2023,15040,Blanco,España
Model S,87410.0,2024,5165,Negro,Francia
Model S,88990.0,2023,6196,Azul,España
