model,color,name,year,km,price
Model 3,Azul,TESLA Model 3 Performance 4WD,2020,"65,090",32.890 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2020,"125,000",25.750 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"68,000",26.500 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD,2020,"47,479",28.490 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"81,803",26.490 €
Model 3,Azul,TESLA Model 3 RWD,2024,"2,490",42.500 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"105,000",26.500 €
Model 3,Azul,TESLA Model 3 Performance 4WD,2020,"65,090",32.890 €
Model 3,Azul,TESLA Model 3 RWD,2022,"63,000",25.990 €
Model 3,Azul,TESLA Model 3 Performance 4WD,2021,"65,000",34.990 €
Model 3,Azul,TESLA Model 3 Gran Autonomia 4WD,2021,"113,800",29.000 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2021,"93,000",25.850 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2021,"93,000",25.850 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"39,413",28.990 €
Model 3,Azul,TESLA Model 3 RWD,2022,"57,671",29.790 €
Model 3,Azul,TESLA Model 3 RWD,2022,"57,000",27.950 €
Model 3,Azul,TESLA Model 3 RWD,2022,"57,000",27.950 €
Model 3,Azul,TESLA Model 3 RWD,2022,"65,000",27.850 €
Model 3,Azul,TESLA Model 3 RWD,2022,"65,000",27.850 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD,2021,"54,000",27.850 €
Model 3,Azul,TESLA Model 3 Gran Autonomia RWD,2019,"60,400",32.900 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD,2019,"76,000",23.500 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2020,"21,318",29.700 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"78,000",29.990 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD,2020,"129,446",21.500 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD 4p.,2019,"137,183",24.000 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2020,"127,000",27.490 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD 4p.,2019,"108,000",24.999 €
Model 3,Azul,TESLA Model 3 Performance AWD,2022,"19,700",36.500 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"124,839",25.940 €
Model 3,Azul,TESLA Model 3 Performance AWD,2022,"25,000",37.990 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD 4p.,2021,"63,000",35.500 €
Model 3,Azul,TESLA Model 3 Performance 4WD,2020,"57,000",31.900 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD 4p.,2019,"53,000",25.000 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD,2019,"114,000",22.999 €
Model 3,Azul,TESLA Model 3 Performance AWD 4p.,2021,"155,000",37.900 €
Model 3,Azul,TESLA Model 3 Gran Autonomia AWD 4p.,2022,"60,000",37.000 €
Model 3,Azul,TESLA Model 3 Estandar Plus RWD 4p.,2019,"74,000",25.000 €
Model 3,Azul,TESLA Model 3,2019,"137,183",24.000 €
Model 3,Azul,TESLA Model 3,2020,"128,500",21.499 €
Model X,Azul,TESLA Model X 100D 4WD,2017,"240,000",34.900 €
Model X,Azul,TESLA Model X 90D 4WD,2017,"74,000",37.900 €
Model X,Azul,TESLA Model X 100D 4WD,2017,"240,000",34.900 €
Model X,Azul,TESLA Model X Gran Autonomia 4WD,2020,"35,000",49.999 €
Model X,Azul,TESLA Model X 100D 4WD,2019,"175,000",40.000 €
Model X,Azul,TESLA Model X 75D 4WD,2017,"70,000",49.990 €
Model X,Azul,TESLA Model X Gran Autonomia 4WD 5p.,2020,"38,000",49.900 €
Model S,Blanco,TESLA Model S Gran Autonomia 4WD,2019,"116,000",36.999 €
Model S,Blanco,TESLA Model S P100D 4WD,2017,"56,000",59.900 €
Model S,Blanco,TESLA Model S Gran Autonomia 4WD,2019,"116,000",36.999 €
Model S,Blanco,TESLA Model S P100D 4WD,2017,"56,000",59.900 €
Model S,Blanco,TESLA Model S Plaid AWD,2023,"13,000",84.900 €
Model S,Blanco,TESLA Model S Plaid AWD,2023,"16,000",89.900 €
Model S,Blanco,TESLA Model S Ludicrous Performance 4WD,2020,"52,000",55.900 €
Model S,Blanco,TESLA Model S Ludicrous Performance 4WD,2020,"84,000",65.000 €
Model S,Blanco,TESLA Model S,2020,"127,000",39.000 €
Model S,Blanco,TESLA Model S 75 5p.,2017,"258,000",25.000 €
Model S,Blanco,TESLA Model S 90D 4WD 5p.,2017,"260,000",25.999 €
Model S,Blanco,TESLA Model S Plaid 4WD 5p.,2020,"110,000",40.500 €
Model S,Blanco,TESLA Model S,2015,"292,785",21.500 €
Model S,Granate,TESLA Model S Ludicrous Performance 4WD,2020,"76,800",55.900 €
Model S,Granate,TESLA Model S 75,2017,"61,000",37.000 €
Model S,Gris/Plata,TESLA Model S 100D 4WD,2017,"211,000",29.500 €
Model S,Gris/Plata,TESLA Model S P100D 4WD,2017,"159,000",29.990 €
